plate	gene	heat95	minutes	plateRemark	well	absBlue	absYellow
CP00001	1a	NA	40		A1	1.6225	1.2874
CP00001	1a	NA	40		A2	1.5821	1.2598
CP00001	1a	NA	40		A3	1.5472	1.2275
CP00001	1a	NA	40		A4	1.7064	1.4131
CP00001	1a	NA	40		A5	1.3815	1.421
CP00001	1a	NA	40		A6	1.7084	1.4317
CP00001	1a	NA	40		A7	1.8856	1.9027
CP00001	1a	NA	40		A8	1.6628	1.6333
CP00001	1a	NA	40		A9	1.3587	1.3066
CP00001	1a	NA	40		A10	1.6244	1.702
CP00001	1a	NA	40		A11	1.6497	1.275
CP00001	1a	NA	40		A12	1.6097	1.485
CP00001	1a	NA	40		B1	1.5659	1.6062
CP00001	1a	NA	40		B2	1.4295	1.0735
CP00001	1a	NA	40		B3	1.7264	1.1513
CP00001	1a	NA	40		B4	1.4823	1.1213
CP00001	1a	NA	40		B5	1.3879	1.3675
CP00001	1a	NA	40		B6	1.7574	1.7345
CP00001	1a	NA	40		B7	1.6652	1.5957
CP00001	1a	NA	40		B8	1.3893	1.3665
CP00001	1a	NA	40		B9	1.6107	1.1402
CP00001	1a	NA	40		B10	1.3876	1.0165
CP00001	1a	NA	40		B11	0.9779	0.6934
CP00001	1a	NA	40		B12	1.5193	1.4768
CP00001	1a	NA	40		C1	1.4949	1.1397
CP00001	1a	NA	40		C2	1.3555	1.0475
CP00001	1a	NA	40		C3	1.4585	1.468
CP00001	1a	NA	40		C4	1.5577	1.2361
CP00001	1a	NA	40		C5	1.6859	1.4183
CP00001	1a	NA	40		C6	1.6377	1.5379
CP00001	1a	NA	40		C7	1.4706	1.4523
CP00001	1a	NA	40		C8	1.5859	1.5897
CP00001	1a	NA	40		C9	1.6817	1.5817
CP00001	1a	NA	40		C10	1.7939	1.5753
CP00001	1a	NA	40		C11	1.5593	1.5133
CP00001	1a	NA	40		C12	1.8082	1.7585
CP00001	1a	NA	40		D1	1.4195	1.4228
CP00001	1a	NA	40		D2	1.6466	1.6163
CP00001	1a	NA	40		D3	1.2791	1.2119
CP00001	1a	NA	40		D4	1.3307	1.2475
CP00001	1a	NA	40		D5	1.2945	1.2126
CP00001	1a	NA	40		D6	1.3555	0.9851
CP00001	1a	NA	40		D7	1.485	1.4589
CP00001	1a	NA	40		D8	1.281	1.2126
CP00001	1a	NA	40		D9	1.3223	0.9566
CP00001	1a	NA	40		D10	1.5482	1.1815
CP00001	1a	NA	40		D11	1.3546	1.2493
CP00001	1a	NA	40		D12	1.5889	1.5346
CP00001	1a	NA	40		E1	1.4806	1.5568
CP00001	1a	NA	40		E2	1.5275	1.1378
CP00001	1a	NA	40		E3	1.5949	1.3227
CP00001	1a	NA	40		E4	1.6879	1.6429
CP00001	1a	NA	40		E5	1.5495	1.2286
CP00001	1a	NA	40		E6	1.3589	1.2259
CP00001	1a	NA	40		E7	1.5132	1.4342
CP00001	1a	NA	40		E8	1.4349	1.3199
CP00001	1a	NA	40		E9	1.2552	1.1746
CP00001	1a	NA	40		E10	1.2664	1.1568
CP00001	1a	NA	40		E11	1.5822	1.505
CP00001	1a	NA	40		E12	1.4815	1.4556
CP00001	1a	NA	40		F1	1.5252	1.524
CP00001	1a	NA	40		F2	1.5455	1.5585
CP00001	1a	NA	40		F3	1.3641	1.299
CP00001	1a	NA	40		F4	1.338	1.3127
CP00001	1a	NA	40		F5	1.2672	1.128
CP00001	1a	NA	40		F6	1.6295	1.3629
CP00001	1a	NA	40		F7	1.2547	1.0836
CP00001	1a	NA	40		F8	1.2506	1.1636
CP00001	1a	NA	40		F9	1.2657	1.2036
CP00001	1a	NA	40		F10	1.5649	1.5422
CP00001	1a	NA	40		F11	1.2548	1.2257
CP00001	1a	NA	40		F12	1.4663	1.5004
CP00001	1a	NA	40		G1	1.3329	1.3044
CP00001	1a	NA	40		G2	1.8	1.7876
CP00001	1a	NA	40		G3	1.3501	1.4871
CP00001	1a	NA	40		G4	1.2601	1.1725
CP00001	1a	NA	40		G5	1.6226	1.6225
CP00001	1a	NA	40		G6	1.418	1.3959
CP00001	1a	NA	40		G7	1.7166	1.7169
CP00001	1a	NA	40		G8	1.3942	1.3687
CP00001	1a	NA	40		G9	1.4571	1.4225
CP00001	1a	NA	40		G10	1.5143	1.5032
CP00001	1a	NA	40		G11	1.3873	1.377
CP00001	1a	NA	40		G12	1.619	1.6155
CP00001	1a	NA	40		H1	1.3711	1.4024
CP00001	1a	NA	40		H2	1.4142	1.4034
CP00001	1a	NA	40		H3	1.6017	1.6343
CP00001	1a	NA	40		H4	1.3935	1.3838
CP00001	1a	NA	40		H5	1.4307	1.4482
CP00001	1a	NA	40		H6	1.3797	1.3936
CP00001	1a	NA	40		H7	1.4256	1.4706
CP00001	1a	NA	40		H8	1.3797	1.3908
CP00001	1a	NA	40		H9	1.3826	1.4204
CP00001	1a	NA	40		H10	1.6405	1.7153
CP00001	1a	NA	40		H11	1.4158	1.4598
CP00001	1a	NA	40		H12	1.4912	1.5595
CP00001	1a	NA	55		A1	1.3198	0.9295
CP00001	1a	NA	55		A2	1.3784	0.9626
CP00001	1a	NA	55		A3	1.3564	0.9169
CP00001	1a	NA	55		A4	1.3195	0.8988
CP00001	1a	NA	55		A5	1.2797	1.3361
CP00001	1a	NA	55		A6	1.3655	0.9305
CP00001	1a	NA	55		A7	1.2356	1.2447
CP00001	1a	NA	55		A8	1.3153	1.2973
CP00001	1a	NA	55		A9	1.2436	1.1808
CP00001	1a	NA	55		A10	1.1914	1.068
CP00001	1a	NA	55		A11	1.2894	0.8545
CP00001	1a	NA	55		A12	1.3636	0.9221
CP00001	1a	NA	55		B1	1.2494	1.2752
CP00001	1a	NA	55		B2	1.3757	0.9548
CP00001	1a	NA	55		B3	1.336	0.8946
CP00001	1a	NA	55		B4	1.374	0.9366
CP00001	1a	NA	55		B5	1.3472	1.3353
CP00001	1a	NA	55		B6	1.333	1.287
CP00001	1a	NA	55		B7	1.2776	1.1744
CP00001	1a	NA	55		B8	1.29	1.1147
CP00001	1a	NA	55		B9	1.3196	0.893
CP00001	1a	NA	55		B10	1.2871	0.8797
CP00001	1a	NA	55		B11	1.2623	0.8657
CP00001	1a	NA	55		B12	1.343	1.2974
CP00001	1a	NA	55		C1	1.3507	0.9442
CP00001	1a	NA	55		C2	1.3438	0.9582
CP00001	1a	NA	55		C3	1.2605	1.2199
CP00001	1a	NA	55		C4	1.307	0.9101
CP00001	1a	NA	55		C5	1.3099	0.8816
CP00001	1a	NA	55		C6	1.202	1.0753
CP00001	1a	NA	55		C7	1.2051	1.1223
CP00001	1a	NA	55		C8	1.2384	1.2119
CP00001	1a	NA	55		C9	1.2019	1.0774
CP00001	1a	NA	55		C10	1.2222	0.9862
CP00001	1a	NA	55		C11	1.2242	1.0031
CP00001	1a	NA	55		C12	1.2344	1.1062
CP00001	1a	NA	55		D1	1.3756	1.3771
CP00001	1a	NA	55		D2	1.3102	1.253
CP00001	1a	NA	55		D3	1.2186	1.142
CP00001	1a	NA	55		D4	1.3271	1.2199
CP00001	1a	NA	55		D5	1.2995	1.0722
CP00001	1a	NA	55		D6	1.3477	0.9377
CP00001	1a	NA	55		D7	1.2601	1.2255
CP00001	1a	NA	55		D8	1.2778	1.0011
CP00001	1a	NA	55		D9	1.3173	0.9135
CP00001	1a	NA	55		D10	1.3496	0.9115
CP00001	1a	NA	55		D11	1.2786	1.1425
CP00001	1a	NA	55		D12	1.219	1.1525
CP00001	1a	NA	55		E1	1.2994	1.3121
CP00001	1a	NA	55		E2	1.3374	0.9305
CP00001	1a	NA	55		E3	1.287	0.8984
CP00001	1a	NA	55		E4	1.4028	1.3067
CP00001	1a	NA	55		E5	1.3087	0.918
CP00001	1a	NA	55		E6	1.2677	1.0926
CP00001	1a	NA	55		E7	1.2118	1.0487
CP00001	1a	NA	55		E8	1.2111	0.999
CP00001	1a	NA	55		E9	1.1618	1.0651
CP00001	1a	NA	55		E10	1.3107	1.0233
CP00001	1a	NA	55		E11	1.5475	1.479
CP00001	1a	NA	55		E12	1.295	1.2787
